label,story,text
A1,"Poster 1
FINAL EXAM INSTRUCTIONS
Doors close 5 minutes","Poster 1
FINAL EXAM INSTRUCTIONS
Doors close 5 minutes before the start of the exam. Please make sure you arrive early. Latecomers will not be allowed to enter the exam hall. Remember to bring your ID card and exam slip for verification. Only pens, pencils, erasers, and a bottle of water are allowed on your desk. Mobile phones and electronic devices must be switched off and placed in your bag at the front of the room. 

The exam will last for two hours. You are not allowed to talk to other students during the exam. If you have a question, please raise your hand and wait for the invigilator to come to you. 

Once you have finished your exam, please check your work carefully. Then, hand your exam paper to the invigilator and quietly leave the room. 

Good luck to everyone! Remember to stay calm and do your best. Your hard work will pay off."
A1,"And now, the rejects.
The photographs show the Boeing","And now, the rejects.
The photographs show the Boeing And now, the rejects. The photographs show the Boeing aircraft left behind, no longer fit for the skies. In one image, a grand plane stands silent, its colors faded by the sun. Another photo captures birds nesting where engines once roared. Despite their forgotten glory, there's beauty in their stillness, in the stories they once lived. People used to travel across the globe in these giants, sharing laughs, hopes, and dreams thousands of feet above the earth. Now, they rest, whispering tales of the past to anyone who takes a moment to listen."
A1,"Now, you can only check out this magazine for one week.
Why","Now, you can only check out this magazine for one week.
Why Now, you can only check out this magazine for one week, Elizabeth thought as she read the new library policy. It seemed a bit strict, considering how much she loved taking her time with each issue, especially those filled with stories from faraway places or interesting science facts. She always looked forward to her weekly library visits, a ritual that had started when she was much younger and had continued into her teenage years.

""Why did they change the policy?"" she wondered aloud, not expecting an answer as she stood alone in the brightly lit aisle of the library. The reason behind the change wasn't clear, but Elizabeth guessed it might have to do with the magazine's popularity. Maybe there were not enough copies for everyone who wanted to read them.

Disappointed but determined not to let this new rule dampen her spirits, Elizabeth made her way to the checkout counter with her selected magazines. She had chosen one about the solar system, as she had recently developed a keen interest in astronomy, and another that featured fascinating stories about travels in Europe.

At the counter, the librarian, Mrs. Thompson, smiled warmly at Elizabeth. ""I see you've found some interesting reads,"" she said, scanning the magazines.

""Yes, but I'm a bit sad about the new one-week policy,"" Elizabeth"
A1,The president she once pointed a gun at has been dead,"The president she once pointed a gun at has been dead The president she once pointed a gun at has been dead for many years now. Yet, the memory of that day still lingers in Maria's mind, haunting her like a ghost. She remembers the weight of the gun in her hand, the cold metal against her skin, and the fear in her heart. She had never imagined herself in a situation like that, facing the most powerful man in the country with nothing but a loaded weapon between them.

Despite the years that have passed, Maria still wonders what would have happened if she had pulled the trigger. Would the world be a better place, or would it have spiraled into chaos? It's a question she'll never have an answer to, because in the end, she couldn't do it. She couldn't take a life, even in the name of justice.

Now, Maria lives a quiet life away from the spotlight. The world has forgotten her act of defiance, and she prefers it that way. She spends her days tending to her garden and reading books, embracing the peace that she has found. Yet, the gun is still there, locked away in a drawer, a constant reminder of the person she once was and the path she chose not to take.

In her heart, Maria knows she made the right"
A1,Rory McIlroy is off to a good start at the Scottish,"Rory McIlroy is off to a good start at the Scottish Open. He swings his club with great skill and hits the ball down the fairway. The crowd watches in amazement as Rory's ball lands softly on the green. With just a few more holes to play, Rory is feeling confident. The sky is clear, and the breeze is gentle, perfect weather for golf.

As Rory walks towards the next hole, he thinks about his strategy. He needs to stay calm and focus on each shot. There are many good players in the tournament, but today he feels like nothing can stop him.

At the next hole, Rory sets up his shot. He takes a deep breath, swings, and the ball flies through the air, landing close to the hole. The crowd cheers loudly. Rory smiles and tips his hat to the spectators. He feels happy and enjoys the game.

With every hole, Rory's confidence grows. He makes a few more excellent shots, impressing everyone watching. Other players are doing well too, but Rory is leading.

Finally, it's time for the last hole. Rory needs to make one more good shot to win. He focuses, swings, and the ball goes exactly where he wants it to. When the ball lands in the hole, the crowd erupts in cheers. Rory has won the Scottish"
B2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me to answer the most difficult questions in class. It's like he has a radar for when I'm most unprepared! Every time his gaze locks onto me, my stomach turns into knots, and my brain goes completely blank. It’s as if all the studying I've done evaporates the moment he says my name. 

It doesn’t help that he's infamous for his curveball questions that no one sees coming. Last week, he asked me to compare two theories that, up until that moment, I was convinced were related to entirely different subjects. I could barely stutter out a few words before my mind gave up. The silent judgment from my classmates was palpable, their eyes boring into me like I was an unsolved puzzle.

But the strangest thing happened yesterday. I was in the library, buried under a mountain of books, trying to make sense of the latest assignment. I must have been mumbling to myself because, all of a sudden, I heard someone clearing their throat behind me. I turned around to find none other than Professor Hernandez standing there, an unreadable expression on his face.

I braced myself for another perplexing question or a critique of my study habits, but instead, he simply asked if he could sit. Before I knew"
A1,"There's a huge rip here.
But there's tape on it!
Did","There's a huge rip here.
But there's tape on it!
Did Did you put the tape there?"" Tom asked, looking at Lily with a mix of confusion and amusement. The large rip in the middle of their map looked almost comical, now adorned with a piece of clear tape barely holding the two halves together.

Lily nodded sheepishly. ""Yes, I thought it would help,"" she said, her voice laced with hope. ""We can still see the important parts, right?""

Tom chuckled, folding the map carefully to avoid enlarging the tear. ""Yes, we can still see where we need to go. Good thinking with the tape, Lily. We'll make a great explorer out of you yet,"" he said, his smile encouraging.

Their adventure was just beginning, and despite the slight mishap with the map, their spirits were high. They had planned this trip for weeks, intending to find the hidden lake nestled deep in the woods behind their town. Legend had it that the water shone like a hundred diamonds under the full moon, a sight neither of them wanted to miss.

With the map in hand, albeit a bit worse for wear, they set out on their journey. The sun was high in the sky, casting a warm glow over everything it touched. Birds chirped melodiously, creating a symphony"
B1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling me out in class for the slightest mistakes. It's like he has it out for me specifically. I know I'm not the only one who feels this way. Just the other day, Jenn pointed out how he made her redo an assignment three times because it wasn't ""up to his standard.""

Tom nodded in agreement, his eyebrows knitted together in frustration. ""He did the same thing to me last week. I spent hours on that project, and he barely glanced at it before telling me it wasn't good enough.""

Despite their shared grievances, there was an unspoken respect for the professor. They knew he was pushing them to do their best, but it felt overwhelming at times. Sarah sighed, looking around at her friends. ""I know he's tough on us, but I've heard from upperclassmen that his classes really prepare you for the real world. Maybe there's a method to his madness.""

""But does it have to be so harsh?"" Tom countered. ""There's a difference between being challenging and just being plain discouraging.""

Jenn piped up, trying to lighten the mood. ""Well, at least we're all in it together. Think of it as a bonding experience, one we'll laugh about when we're successful and far away"
A2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me when I've told him I'm not comfortable speaking in front of the class. It's like he doesn't care at all about how I feel. And his assignments are the worst. They're so confusing and when you ask for help, he just tells you to figure it out on your own. It's so frustrating!

""Yeah, and have you noticed how he always picks on the same people? It's like he has his favorites and the rest of us just have to struggle,"" Alex added, shaking their head in annoyance.

I sighed, ""I thought college was going to be different, you know? More understanding teachers, better ways of learning. But it seems like it's just the same old story.""

Alex nodded, ""Well, we just have to get through this semester. After that, we don't have to take any more classes with him. Let's just stick together and help each other out as much as we can.""

""Yeah, you're right,"" I agreed, feeling a bit better. ""We can form a study group! We can meet up after class and go over the assignments together. Two heads are better than one, right?""

That idea seemed to lift both our spirits. Having a plan in place made the situation seem a lot less"
C1,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling me out in class for the tiniest mistakes. It’s like he has it in for me or something,” said Alex, tossing his backpack onto the floor with a thud. The frustration was evident in his voice, almost as palpable as the late afternoon sunlight filtering through the curtains of our dorm room.

“I wonder why he does that,” I mused, trying to look at the situation from a different angle. It was true that Professor Hernandez had a reputation for being particularly tough on students, but his methods had always struck me as a bit of an enigma. “Do you think he believes that singling you out will somehow make you perform better?”

Alex snorted, clearly not convinced. “Yeah, right. All it does is make me dread his classes even more. I’m already struggling with the material, and his constant criticism isn’t exactly boosting my confidence.”

I nodded sympathetically, knowing all too well how it felt to be under such pressure. The silence that followed was filled with a shared sense of camaraderie and frustration. Finally, I broke it with a suggestion. “Maybe there’s another way to look at this. What if you try to see it as a challenge? Like, a way to prove him wrong.”

Alex raised an"
B2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with aspirational images and stories, pushing the narrative that happiness is just a purchase away. In a world where attention is currency, it's easy to get swept up in the glamour and forget the simplicity of true contentment. Maria, a 32-year-old marketing executive, found herself entangled in this web of consumption. Every day, she was surrounded by the latest trends, her social media feeds a never-ending cascade of must-have items and experiences.

One rainy Saturday, as she scrolled aimlessly through her phone, she stumbled across a digital detox challenge. The idea was simple: disconnect from all digital devices for a weekend and reconnect with the real world. Intrigued and somewhat apprehensive, Maria decided to give it a try.

The first few hours were the hardest. Maria felt a phantom vibration in her pocket every few minutes and reached for her phone out of habit, only to remember she had turned it off and tucked it away in a drawer. She felt a strange sense of isolation, cut off from the world she was so deeply embedded in. But as the afternoon turned to evening, something shifted.

Maria started reading a book she had bought months ago and never found the time to start. She went for a walk in the park, noticing the vibrant colors of the"
A1,The British tourist who caught a 1-year-old child who,"The British tourist who caught a 1-year-old child who fell from a second-story balcony in Crete. The child, who was on holiday with her parents, had managed to climb over the balcony rail when the unimaginable happened. She fell towards the ground below, where luckily a quick-thinking tourist caught her just in time, saving her from what could have been a tragic fate. 

The tourist, a man in his forties named John, had been walking back to his hotel room after enjoying a late dinner in the warm Greek evening. He heard a child's laughter and looked up, just in time to see the little girl teetering on the edge of the balcony. Without thinking, he rushed forward, arms outstretched, and caught her safely as she fell. 

The child's parents, who had been in another room and unaware of the danger, rushed out at the sound of John's shout. They were overwhelmed with relief and gratitude when they saw their daughter safe in the arms of the stranger. The mother, tears in her eyes, embraced John, thanking him repeatedly for his heroic action.

John, a father himself, understood all too well how quickly accidents can happen, especially with young children. He was just glad he was in the right place at the right time. The hotel staff, alerted by the comm"
B1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with images of what beauty should look like. Everywhere you turn, there are pictures of people with perfect bodies, flawless skin, and fashionable clothes, making it seem like this is the standard everyone should strive for. This constant exposure to idealized images can have a profound effect on how individuals view themselves and others.

On a bright Saturday morning, Maria found herself wandering through the city streets, her mind preoccupied with these thoughts. As she passed by a row of shop windows, each displaying the latest fashion trends on mannequins that seemed to mock her average figure, she couldn't help but feel a pang of inadequacy. It was as if the world was telling her she wasn't good enough unless she looked like those figures in the windows.

Deciding to seek solace in her favorite café, Maria ordered a cup of coffee and found a quiet corner to sit in. She couldn't shake off the feeling of being judged and found wanting against an impossible standard. It was then that she noticed a group of teenagers at the next table, laughing and taking selfies. Observing them, Maria realized that they weren't the picture-perfect images portrayed in the social media feeds or the shop windows. They were real, with their own imperfections and idiosyncrasies"
A2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people Social media, magazines, and shop windows bombard people with images of the perfect life: smiling faces, flawless skins, and enviable lifestyles. It's hard not to feel drawn in, comparing one's own life to these polished presentations. Among those caught in this whirlwind of comparison was Mia, a young girl with dreams as big as her heart, but with self-doubt as persistent as the images that filled her screens.

Mia lived in a small apartment in the city, surrounded by reminders of the life she aspired to have. Every morning, as she sipped her coffee, she'd scroll through her feed, feeling a mix of inspiration and inadequacy. It seemed everyone was achieving great things, everyone but her. The colorful photos of friends traveling, achieving milestones, and looking effortlessly beautiful filled her with a longing to be part of that world.

Determined to change her narrative, Mia decided to start a blog. It wasn’t going to be like the ones she saw online, filled with unattainable lifestyles. Instead, she wanted it to be a space where reality and dreams could coexist. A place where the imperfect could be celebrated, and the small achievements recognized. She called it ""The Authentic Diary.""

Mia's first post was about"
C1,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with an idealized version of reality, painting a picture of a world where perfection is not only achievable but expected. In this narrative, success is measured by the accumulation of material wealth, flawless appearances, and the attainment of social prestige. Yet, beneath this glossy surface lies a complex tapestry of individual struggles, aspirations, and the quest for genuine connection.

Amid this cultural panorama, Emily found herself at a crossroads. Having spent years chasing the benchmarks of success peddled by the very influencers she followed religiously online, she was forced to confront a profound emptiness. The meticulously curated images and stories that once fueled her ambition now seemed hollow, offering no solace to her growing sense of disconnection.

One evening, while aimlessly scrolling through her social media feed, Emily stumbled upon a post that diverged starkly from the usual fare. It was a simple message, yet it struck a chord deep within her: ""True fulfillment is found not in perfection, but in embracing the beautifully imperfect tapestry of our lives."" Pausing to reflect, she realized how far she had drifted from the passions and values that once defined her.

Motivated by this newfound perspective, Emily made a conscious decision to disengage from the relentless pursuit of an unattainable ideal."
C2,"I hate Professor Hernandez!
Me too! He keeps calling","I hate Professor Hernandez!
Me too! He keeps calling on me to answer the most difficult questions, and it feels like he's always looking for ways to catch me off-guard. Yesterday, during the lecture on advanced quantum physics, he directed a question so complex at me it felt like a spotlight was suddenly glaring down, spotlighting my confusion for all to see.

“I'm waiting,” he said, with that unnerving patience of his, folding his arms and leaning against the desk, his gaze never wavering from mine. The room was deathly silent, all eyes on me, waiting for an answer I didn't have. I could feel the sweat beginning to bead at my forehead, the heat of embarrassment flushing my cheeks.

It's not just the interrogation-style teaching, though. It's the way he seems to take joy in the intellectual struggle, the cerebral combats that unfold in his classroom. There's something about the gleam in his eye, a kind of mirth, when a question stumps everyone, or when a debate gets particularly heated, that makes you wonder whether he sees the educational process more as a game than a nurturing pursuit.

But yesterday was different. After class, as I was packing up my things, feeling the familiar weight of defeat settle on my shoulders, he approached me. The classroom had emptied"
B2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. A baby has arms and legs. It has a mouth and eyes. It begins its journey in the world wrapped in a blanket of innocence and curiosity. With each passing day, this tiny human embarks on a profound adventure of growth and discovery. Through the simple acts of observing, touching, and listening, the baby starts to understand the complexities and wonders of its surroundings.

Life for this little one is an endless series of firsts. The first words, though incoherent and simplistic, pave the way for meaningful communication. The first steps, wobbly and uncertain, open a realm of boundless exploration. These milestones are more than just physical achievements; they are the beginnings of a deeper comprehension of identity and interconnectedness with others.

In the warmth of its family's love and the guidance of those who care for it, the baby learns the essence of human emotions. Joy, frustration, affection, and empathy become parts of its developing personality, each experience a brushstroke on the canvas of its young life. The bonds formed during this critical time lay the foundation for relationships that will nurture and challenge it in the years to come.

As the baby transitions from infancy into childhood, its days are filled with play and imagination. Toys and playmates become vehicles for cognitive and social development"
A1,"Just a two-hour detour from Paris, the Loire was once","Just a two-hour detour from Paris, the Loire was once Just a two-hour detour from Paris, the Loire was once where royalty sought reprieve among the lush landscapes and stunning chateaus. Today, it beckons not just history buffs and architecture enthusiasts but also those seeking a slice of tranquility away from the bustling city life.

The journey itself was an adventure; the train weaving through the countryside, unveiling scenic vistas that seemed to belong more in paintings than in reality. Nestled within this picturesque setting were vineyards stretching far and wide, their vines heavy with grapes destined to become some of France's most celebrated wines.

Upon arrival, the air felt different, fresher, as if carrying whispers from the past. The Loire Valley, with its regal history, had a way of making visitors feel like they had stepped into another era. The most enchanting aspect, perhaps, were the chateaus themselves. Each with its unique story, they stood as monuments to a bygone age, their grandeur undiminished by time.

The first visit was to Chateau de Chambord, the largest in the valley, whose architectural splendor was rumored to have been influenced by Leonardo da Vinci. Walking through its vast hallways and spiraled staircases, it wasn't hard to imagine the opulence that once"
B1,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. The baby moves its arms and kicks its legs in the air, testing the limits of its tiny but growing body. Its eyes, wide and curious, scan the environment, taking in the colors, the movements, and the faces that hover into view. With its mouth, it coos and cries, communicating needs and discomforts in the only way it knows how, eager for the warmth and comfort that come from those who understand its language of simple sounds and gestures.

As days turn into weeks, and weeks into months, the baby begins to explore the world with a growing sense of purpose. The hands that once waved aimlessly in the air now reach out with intention, grasping toys and objects with an eagerness fueled by curiosity. The legs that kicked without direction begin to support weight, first wobbly and unsure, but with time, gaining the strength needed for those first tentative steps.

The mouth, too, becomes a tool for more than just cries or giggles. Babbling evolves into a parade of sounds and syllables, the building blocks of words. The baby listens intently to the conversations around it, the tones and rhythms imprinted in its budding memory. With encouragement and mimicry, the first recognizable words emerge, bringing joy and a sense of achievement not"
A2,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. The baby giggles and plays. It is curious about the world around it. Every day, it learns something new. It likes to listen to songs and clap its hands. Sometimes, it tries to sing along. The baby also enjoys looking at colorful books. It points at pictures and smiles.

One sunny morning, the baby decides it wants to explore. It crawls around the house, touching everything it can reach. It finds a soft, green ball. The baby picks it up and shakes it. The ball makes a funny noise, and the baby laughs.

Then, it spots a little, fluffy cat. The cat is sleeping peacefully. The baby crawls over to the cat and gently pets its fur. The cat wakes up and looks at the baby. They stare at each other for a moment. Then, the cat purrs and nuzzles the baby’s hand.

The baby feels happy and excited. It has made a new friend. Together, they play with the green ball. The baby throws the ball, and the cat chases it. They have a lot of fun.

After playing, they are both very tired. The baby yawns and rubs its eyes. It is time for a nap. The baby cuddles up with the fluffy cat."
C1,A baby has arms and legs. It has a mouth and eyes.,"A baby has arms and legs. It has a mouth and eyes. A baby, upon first glance, seems to be a simple creature of mere arms and legs, equipped with a mouth and eyes. Yet, beneath this unassuming exterior lies a complex being, poised on the brink of discovering the vast tapestry of human existence. Each limb, every gaze, holds the potential to interact with the world in ways that are both profound and mundane.

As the baby grows, so too does its understanding. The arms that once flailed without direction learn the delicate art of gesture, of reaching out to touch the world and make known its desires and dislikes. The legs, initially dormant, awaken to the possibilities of movement, enabling the child to explore, to chase the fluttering shadows of leaves in the wind, and to retreat from the unfamiliar.

The mouth, once a mere conduit for sustenance, becomes an instrument of expression. Through it, the child learns the power of words, how they can soothe or wound, connect or isolate. Language, in its infancy, is a playground where meaning is both discovered and created, where the simple joy of sound turns into the complex pleasure of communication.

The eyes, those windows to the soul, begin to discern more than light and shadow. They learn to read the subtleties of human emotion, to"
B2,Most people don't know that the full name of the Statue,"Most people don't know that the full name of the Statue Most people don't know that the full name of the Statue that stands proudly on Liberty Island in New York Harbor is ""Liberty Enlightening the World."" This iconic symbol was a gift from the people of France to the United States, designed by Frédéric Auguste Bartholdi and dedicated on October 28, 1886. The statue represents Libertas, the Roman goddess of freedom, who bears a torch above her head with her right hand, while in her left hand she carries a tabula ansata inscribed with the date of the American Declaration of Independence.

As intriguing as its origins are, the stories of those who visited the statue are even more fascinating. Consider Anna, a young woman who had never traveled outside of her small town in Italy. She dreamt of exploring new worlds, of embracing opportunities that were not available in her own backyard. When her family decided to emigrate to America, Anna was both exhilarated and terrified. She knew that leaving her home meant saying goodbye to everything familiar. Yet, the promise of a new beginning was irresistible.

The voyage was long and arduous, but as they neared the American shoreline, a silhouette emerged on the horizon. It was the Statue of Liberty, standing tall and steadfast. For Anna,"
C2,"Social media, magazines and shop windows bombard people","Social media, magazines and shop windows bombard people with a ceaseless array of images and narratives, weaving a tapestry of aspiration that is both alluring and unattainable. It is a world meticulously curated to sell not just products, but lifestyles — ones that promise satisfaction and fulfillment yet often lead to a chasm of discontent and perpetual longing.

In the heart of this whirlwind of desire and disillusionment, individuals strive to carve out their identities, constantly negotiating their self-worth against the glittering images of perfection that flicker before their eyes. The barrage of these ideals shapes perceptions and drives behaviors, pushing many towards a relentless pursuit of an ever-elusive ""better.""

As the dawn breaks over the city, its streets awaken to the quiet footsteps of those who walk them, each person a complex narrative of hopes and dreams, insecurities and fears. Among them is Eliana, a young woman whose journey through the labyrinth of societal expectations and personal aspirations captures the essence of this modern odyssey.

Eliana's days unfold in the shadow of towering billboards and the glow of her smartphone screen, a constant reminder of what she is told to aspire to. Each swipe, each click, threads her deeper into the fabric of this constructed reality, urging her to mold herself into its confines. Yet within her stirs"
